title,Demographic,All Ages,<18,18-29,30-44,45+,All Ages Voters,<18 Voters,18-29 Voters,30-44 Voters,45+ Voters
Last Christmas,Females,6.9,7.3,6.8,6.9,7.3,"4,248",15,"1,715","1,496",510
Avengers: Endgame,All,8.5,9.0,8.6,8.3,8.2,"624,602","3,582","172,639","154,995","33,581"
Avengers: Endgame,Males,8.4,8.9,8.6,8.3,8.1,"343,669","2,141","134,644","129,573","27,723"
Avengers: Endgame,Females,8.6,9.2,8.7,8.4,8.5,"56,913",392,"24,470","19,679","4,525"
Rambo: Last Blood,All,6.3,5.7,6.2,6.2,6.2,"42,866",57,"6,654","16,696","5,324"
Rambo: Last Blood,Males,6.2,6.0,6.2,6.2,6.2,"29,305",45,"5,963","15,525","4,838"
Rambo: Last Blood,Females,6.4,4.5,6.3,6.3,6.8,"1,717",9,373,775,342
Jojo Rabbit,All,8.1,7.6,8.1,8.1,7.9,"17,534",45,"4,547","4,609","1,992"
Jojo Rabbit,Males,8.0,7.5,8.1,8.0,7.9,"9,649",39,"3,581","3,685","1,514"
Jojo Rabbit,Females,8.4,7.0,8.4,8.3,8.1,"2,261",3,814,824,429
A Beautiful Day in the Neighborhood,All,7.9,7.4,7.9,7.8,7.9,"8,947",24,"1,813","2,233","1,568"
A Beautiful Day in the Neighborhood,Males,7.9,7.2,7.9,7.8,7.9,"4,750",21,"1,485","1,731","1,114"
A Beautiful Day in the Neighborhood,Females,7.9,9.5,7.6,7.9,8.1,"1,259",2,275,455,411
Dark Waters,All,7.6,8.3,7.7,7.5,7.3,"3,012",3,634,736,513
Dark Waters,Males,7.6,8.3,7.7,7.4,7.3,"1,715",3,538,626,409
Dark Waters,Females,7.7,-,7.6,7.6,7.6,304,,78,98,92
The King,All,7.3,7.2,7.3,7.2,7.3,"51,605",122,"12,907","15,206","4,681"
The King,Males,7.3,6.9,7.3,7.2,7.3,"29,670",68,"10,061","12,646","3,716"
The King,Females,7.3,7.8,7.3,7.2,7.6,"5,860",24,"2,264","2,115",812
Charlie's Angels,All,4.0,3.6,4.7,3.7,3.6,"15,845",50,"3,487","4,257","1,610"
Charlie's Angels,Males,3.6,3.7,4.2,3.3,3.3,"7,947",25,"2,315","3,342","1,291"
Charlie's Angels,Females,6.0,1.8,6.4,5.8,5.0,"2,384",16,"1,005",787,274
The Report,All,7.2,7.2,7.3,7.2,7.2,"10,499",12,"2,037","3,515","1,646"
The Report,Males,7.2,7.2,7.2,7.2,7.1,"6,432",10,"1,698","2,951","1,309"
The Report,Females,7.3,7.5,7.3,7.3,7.5,"1,153",2,285,481,298
A Hidden Life,All,7.7,7.9,7.9,7.6,7.3,"1,912",21,567,539,257
A Hidden Life,Males,7.7,7.7,7.9,7.6,7.3,"1,171",14,457,446,192
A Hidden Life,Females,7.7,8.8,7.8,7.7,7.4,256,6,92,83,62
